commenter,responds_to,is_post,created_utc,score
Akamaramas,mauricio32257,True,1635102991.0,1
_F121_,TransitionSea8046,True,1635102825.0,1
WithyStonks811,TransitionSea8046,True,1635102195.0,1
darkyoruga,TransitionSea8046,True,1635105224.0,1
gmuslera,_F121_,False,1635104471.0,1
averagelorplayer,_F121_,False,1635106492.0,1
AdmiralKeg,darkyoruga,False,1635106167.0,1
gmuslera,TimKa767,True,1635104568.0,1
fant3k,TimKa767,True,1635101221.0,1
notzonan,ResearcherHawk446,True,1635104368.0,1
Sicarius_Tacet,ThatwasGibberish,True,1635100339.0,1
Akamaramas,ThatwasGibberish,True,1635103177.0,1
geniowe2002,ThatwasGibberish,True,1635102592.0,1
Loud-Geologist-5815,ThatwasGibberish,True,1635105284.0,1
ripichipi25,Akamaramas,False,1635104136.0,1
ideka,urymasa1970,True,1635106154.0,1
urymasa1970,urymasa1970,True,1635087585.0,4
bot_canillita,RecommendationNo33,True,1635082267.0,5
averagelorplayer,RecommendationNo33,True,1635098663.0,3
AdrianMesaUY,RecommendationNo33,True,1635094827.0,6
VedicLight8,RecommendationNo33,True,1635082830.0,15
AdmiralKeg,RecommendationNo33,True,1635102162.0,1
Good_Development,RecommendationNo33,True,1635092489.0,5
RecommendationNo33,RecommendationNo33,True,1635082263.0,13
Hurso81,RecommendationNo33,True,1635093449.0,-4
FX-32,VedicLight8,False,1635088299.0,5
EmpanadaGalactica,VedicLight8,False,1635095644.0,-3
EmpanadaGalactica,Good_Development,False,1635095660.0,0
EmpanadaGalactica,RecommendationNo33,False,1635095603.0,-3
leojg,Hurso81,False,1635101056.0,1
SVPPB,FX-32,False,1635089866.0,12
dude_in_the_mansuit,FX-32,False,1635092106.0,3
EmpanadaGalactica,FX-32,False,1635095630.0,-7
MattKerplunk,EmpanadaGalactica,False,1635097839.0,6
MattKerplunk,EmpanadaGalactica,False,1635098121.0,8
MattKerplunk,EmpanadaGalactica,False,1635097917.0,8
AdmiralKeg,leojg,False,1635102139.0,1
Hurso81,leojg,False,1635102420.0,1
MattKerplunk,SVPPB,False,1635097811.0,7
juacom99,MattKerplunk,False,1635103524.0,1
leojg,Hurso81,False,1635105321.0,1
dude_in_the_mansuit,MattKerplunk,False,1635101102.0,1
SVPPB,juacom99,False,1635105132.0,1
